,names,Brand
1638,Weight Watchers from Heinz Hearty Vegetable Broth Soup 295g,Weight Watchers from Heinz
1639,Old El Paso Mexican One Pan Chilli & Garlic Rice Meal For Chicken Kit 355g,Old El Paso
1640,Ritz Cheese Crackers Box 200g,Ritz
1641,Dorset Cereals Nutty Granola Breakfast Cereal 450g,Dorset Cereals
1642,Border Lemon Drizzle Melts 150g,Border
1643,Nairn's Gluten Free Oaties Biscuits 160g,Nairn's
1644,Mornflake Oatbran 800g,Mornflake
1645,Fox's Glacier Fruits 200g,Fox's
1646,Dolmio Stir in Roasted Garlic & Tomato Pasta Sauce 150g,Dolmio
1647,Flahavan's Microwavable Quick Oats 500g,Flahavan's
1648,Lindt Lindor Assorted Chocolate Truffles Box 337g,Lindt
1649,Hengstenberg Sauerkraut Bavarian Style 680g (650g*),Hengstenberg
1650,Hartley's Sugar Free Lemon and Lime Jelly Twin Pack 23g,Hartley's
1651,"John West Sardines in Sunflower Oil, Boneless 95g (67g*)",John West
1652,Naked Noodle Thai Sweet Chilli Egg Noodles 78g,Naked Noodle
1653,Mellow Bird's Instant Coffee Powder 100g,Mellow Bird's
1654,Lavazza Caffe Espresso Ground Coffee 250g,Lavazza
1655,Aunt Bessie's Golden Crumble Mix 400g,Aunt Bessie's
1656,John West No Drain Fridge Pot Tuna Steak with a Little Olive Oil 3 x 110g,John West
1657,Meridian Crunchy Almond Butter 170g,Meridian
1658,Cadbury Brunch Oats Bournville Chocolate Cereal Bar Pack x5 160g,Cadbury
1659,McCoy's Cheddar & Onion Variety Pack Crisps 6x25g,McCoy's
1660,LU Le Petit Chocolat Biscuits 150g,LU
1661,Kinder Cards Chocolate & Milk Wafer Biscuit Multipack 8x12.8g,Kinder
1662,Maggi Liquid Seasoning 101ml,Maggi
1663,Cadbury Dairy Milk Chocolate Buttons 40g,Cadbury
1664,McVitie's Club Mint Chocolate Biscuit Bars 7x23g,McVitie's
1665,Tassimo Costa Latte Coffee Pods x6,Tassimo
1666,Sharwood's Cooking Sauce Balti 420g,Sharwood's
1667,Clipper Organic Everyday Tea Bags x80,Clipper
1668,Old El Paso Regular Soft Whole Wheat Tortilla Wraps x8 326g,Old El Paso
1669,Eat Natural Fibre Packed Fruit & Nut Bars Dark Chocolate and Sea Salt 3 x 45g,Eat Natural
1670,Ambrosia Light Rice Pudding Pot 150g,Ambrosia
1671,Fox's Biscuits Fabulous Selection 275g,Fox's
1672,Tassimo Kenco Americano Grande XL Coffee Pods x16,Tassimo
1673,Aspall Classic Red Wine Vinegar 350ml,Aspall
1674,"Baxters Chef Selections, Lobster Bisque Soup 400g",Baxters
1675,Homepride White Wine & Cream Cooking Sauce 400g,Homepride
1676,Baxters Crinkled Beetroot 567g (335g*),Baxters
1677,Baxters Sliced Beetroot 340g (207g*),Baxters
1678,French's Classic Yellow Mustard 226g,French's
1679,Edlers Savoury Pastry Case 195g,Edlers
1680,"Batchelors Super Noodles Pot, BBQ Beef 75g",Batchelors
1681,Nielsen-Massey Vanilla Extract 60ml,Nielsen-Massey
1682,Blue Dragon Reduced Sugar Thai Sweet Chilli Sauce 350g,Blue Dragon
1683,Doritos Nacho Cheese Sharing Dip 280g,Doritos
1684,Billington's Demerara Sugar 1kg,Billington's
1685,Kikkoman Naturally Brewed Soy Sauce 250ml,Kikkoman
1686,Pipers Lye Cross Cheddar & Onion Sharing Crisps 150g,Pipers
1687,Lyle's Golden Syrup 700g,Lyle's
1688,Ferrero Rocher Chocolate Pralines Gift Box 16 Pieces 200g,Ferrero Rocher
1689,Nissin Demae Ramen Japanese Noodlesoup Beef Flavour 100g,Nissin
1690,LU Le Petit Beurre Biscuits 167g,LU
1691,"Twinings Strawberry & Raspberry Tea, 20 Tea Bags",Twinings
1692,Encona West Indian Hot Pepper Sauce 142ml,Encona
1693,Nature's Finest Peach in Juice 400g,Nature's Finest
1694,Total Sweet Xylitol 225g,Total Sweet
1695,Fudco Cashew Nuts 250g,Fudco
1696,Whitby Gluten Free Wholetail Scampi 200g,Whitby
1697,Birds Eye Gluten Free Breaded Fish Fillets x2 250g,Birds Eye
1698,Kirsty's Cottage Pie 400g (Serves 1),Kirsty's
1699,Bonne Maman Blackcurrant Conserve 370g,Bonne Maman
1700,Newman's Own Ranch Dressing 250ml,Newman's Own
1701,Werther's Original Chewy Toffee 135g,Werther's Original
1702,Dr. Oetker Milk Chocolate Chip Chunks 100g,Dr. Oetker
1703,Walkers Mint Toffees Bag 150g,Walkers
1704,Heinz Spaghetti Bolognese 200g,Heinz
1705,"Linwoods Milled Flaxseed, Walnuts, Brazil Nuts, Almonds & Q10 360g",Linwoods
1706,Alpen Original Muesli 1.1kg,Alpen
1707,"Twinings Lemon & Ginger Tea, 80 Tea Bags",Twinings
1708,Peperami Original and Cheese Snack Box 50g,Peperami
1709,"Starbucks by Nespresso Decaf Espresso Coffee x10 Pods, 10 Drinks",Starbucks
1710,Tilda Microwave Rice Indonesian Fried 250g,Tilda
1711,Lindt Lindor White Chocolate Bar 100g,Lindt
1712,Kellogg's Crunchy Nut Original Breakfast Cereal 840g,Kellogg's
1713,Nescafe Dolce Gusto Americano Coffee Pods x16,Nescafe
1714,Bahlsen Ohne Gleichen Milk Chocolate Praline Wafers 125g,Bahlsen
1715,Nairn's Gluten Free Flatbread Rosemary & Sea Salt 150g,Nairn's
1716,Branston Baked Beans in a Rich & Tasty Tomato Sauce 6x410g,Branston
1717,Oxo Chicken Stock Cubes x24 142g,Oxo
1718,Lotus Biscoff Sandwich Cream 150g,Lotus Biscoff
1719,Capri-Sun Blackcurrant 8 x 200ml,Capri-Sun
1720,Hartley's Lemon Jelly 135g,Hartley's
1721,Rowntree's Pick & Mix Sweets Pouch 150g,Rowntree's
1722,Ambrosia Tapioca Dessert Can 385g,Ambrosia
1723,Taste the Difference Free From Triple Chocolate Cookies 150g,Taste the Difference
1724,Schar Gluten Free White Rolls 6x58g,Schar
1725,XXX Extra Strong Peppermints Multipack 5x40.5g,XXX
1726,Patak's Balti Spice Paste 283g,Patak's
1727,Ricola Sugar Free Lemon Mint Drops 45g,Ricola
1728,Taste the Difference Free From Dark Chocolate Ginger Cookies 150g,Taste the Difference
1729,Pizza Express House Salad Dressing 235ml,Pizza Express
1730,Big Hoops Salted Grab Bag Crisps 45g,Big Hoops
1731,Ricola Sugar Free Elderflower Drops 45g,Ricola
1732,Capri-Sun Zero Orange 8x200ml,Capri-Sun
1733,Merchant Gourmet Microwave Ready to eat Beluga Lentils 250g,Merchant Gourmet
1734,Starbucks DoubleShot Espresso No Added Sugar Iced Coffee Drink 200ml,Starbucks
1735,Olivio Oil 1L,Olivio
1736,itsu Miso' Easy Traditional Soup 5x21g,itsu
1737,GOOD4U Protein Salad Topper Super Seeds 150g,GOOD4U
1738,Vivera Plant Greek Kebab 175g,Vivera
1739,Hartley's 10 Cal Orange Jelly Pot 175g,Hartley's
1740,Manomasa Manchego & Green Olive Sharing Tortilla Chips 140g,Manomasa
1741,Walkers Baked Variety Multipack Crisps Snacks 6x22g,Walkers
1742,TREK Cocoa Oat Protein Flapjack 50g,TREK
1743,illy Espresso Medium Roast Ground Coffee 250g,illy
1744,BEAR Fruit Yoyos Blackcurrant Family Pack x9 20g,BEAR
1745,Cadbury Curly Wurly Squirlies Chocolate Bag 110g,Cadbury
1746,Hunger Breaks All Day Breakfast 395g,Hunger Breaks
1747,John West Spreadables Tuna Mayonnaise Corn 80g,John West
1748,Heinz Cream of Chicken Cup Packet Soup x4 68g,Heinz
1749,Knorr Lamb Stock Pot 4x28g,Knorr
1750,"Pukka Organic Lemon, Ginger & Manuka Honey Tea Bags x 20",Pukka
1751,"Twinings Jasmine Green Tea, 20 Tea Bags",Twinings
1752,Maoam Joystixx Chewy Sweets Bag 140g,Maoam
1753,Askeys Ice Cream Cup Cornets x21,Askeys
1754,Betty Crocker Chocolate Fudge Icing 400g,Betty Crocker
1755,Cofresh Chilli & Lemon Grills Flavoured Potato Snack 80g,Cofresh
1756,Indo Mie Mi Goreng Stir Fry Noodles 80g,Indo Mie
1757,Aero Milk Chocolate Sharing Bar 90g,Aero
1758,Marmite Crunchy Peanut Butter 225g,Marmite
1759,Knorr Stock Cubes Ham 8x10g,Knorr
1760,Ambrosia Light Devon Custard Pot 150g,Ambrosia
1761,Odysea Roasted Red & Yellow Peppers 450g (350g*),Odysea
1762,Branston Baked Beans & Sausages 405g,Branston
1763,Kinder Bueno White Chocolate & Hazelnuts Bars Multipack 4x39g,Kinder
1764,Oatly Semi Oat Drink Long Life 1L,Oatly
1765,Wasabi Chicken Gyoza 100g,Wasabi
1766,Duerr's Fine Cut Seville Orange Marmalade 340g,Duerr's
1767,Aspall Classic Apple Cyder Vinegar 350ml,Aspall
1768,Opies Cocktail Cherries Maraschino Flavour 225g (125g*),Opies
1769,Propercorn Lightly Sea Salted Popcorn 70g,Propercorn
1770,Bird's Dream Topping 36g,Bird's
1771,Nairn's On the Go Fruit & Seed Oatcakes 225g,Nairn's
1772,Bendicks Mint Collection 200g,Bendicks
1773,Jacob's Savours Cheese Thins Crackers 150g,Jacob's
1774,McCain Home Chips Straight 2.1kg,McCain
1775,Tilda Microwave Rice Classics Golden Vegetable 250g,Tilda
1776,Sunbites Sun Ripened Sweet Chilli Multipack Snacks Crisps 6x25g,Sunbites
1777,Fox's Glacier Mints 200g,Fox's
1778,Cholula Original Hot Sauce 150ml,Cholula
1779,Old El Paso Thick 'N' Chunky Hot Salsa 226g,Old El Paso
1780,Belvita Breakfast Biscuits 30% Less Sugar Choc Chip Pack x5 225g,Belvita
1781,Walkers Max Punchy Paprika Sharing Crisps 140g,Walkers
1782,Kettle Chips Lightly Salted Sharing Crisps 130g,Kettle Chips
1783,Pek Chopped Pork 300g,Pek
1784,Tilda Pure Basmati Rice 5kg,Tilda
1785,Loyd Grossman Tomato & Chilli Pasta Sauce 660g,Loyd Grossman
1786,Schar Gluten Free Chocolate Fingers 150g,Schar
1787,Cofresh Luxury Bombay Mix 200g,Cofresh
1788,The Snack Organisation Barbeque Rice Crackers 100g,The Snack Organisation
1789,Aero Instant Hot Chocolate Powder Jar 288g,Aero
1790,Mr Porky Original Pork Scratchings x6 16.5g,Mr Porky
1791,The Spice Tailor Fiery Goan Indian Curry Sauce Kit 300g,The Spice Tailor
1792,McVitie's Hobnobs Milk Chocolate 2x318g,McVitie's
1793,Ritter Sport Rum Raisin & Hazelnut 100g,Ritter Sport
1794,Tassimo Kenco Cappuccino Coffee Pods x8,Tassimo
1795,Maggi 2 Minute Chicken Flavour Noodles 75g,Maggi
1796,Chicken Tonight Mushroom Sauce 500g,Chicken Tonight
1797,"Batchelors Super Noodles, Southern Fried Chicken 90g",Batchelors
1798,Dr. Oetker 70% Extra Dark Chocolate Chip Chunks 100g,Dr. Oetker
1799,Heinz 50% Less Sugar & Salt Tomato Ketchup 665g,Heinz
1800,Nairn's Gluten Free Cracked Black Pepper Wholegrain Crackers 137g,Nairn's
1801,Tetley Green Tea Decaffeinated x50 Tea Bags 100g,Tetley
1802,Mars Caramel Nougat & Milk Chocolate Snack Bar 51g,Mars
1803,Batchelors Low Fat Super Noodles Chicken & Herb Flavour 81g,Batchelors
1804,Naked Noodle The Big One Egg Noodles Thai Green Curry 104g,Naked Noodle
1805,Milkybar White Chocolate Bar Multipack x6 75g,Milkybar
1806,Clipper Fairtrade Organic Latin American Instant Coffee 100g,Clipper
1807,Hartley's Best of Raspberry Seedless Jam 300g,Hartley's
1808,Heinz Salad Cream 285g,Heinz
1809,Askeys Treat Strawberry Dessert Sauce 325g,Askeys
1810,Allinson Wholemeal Plain Flour 1kg,Allinson
1811,Napolina Extra Virgin Olive Oil 750ml,Napolina
1812,Tilda Wholegrain Basmati Rice 1kg,Tilda
1813,Galaxy Salted Caramel & Milk Chocolate Block Bar Vegetarian 135g,Galaxy
1814,Clipper Organic Decaf Everyday Tea x80 Tea Bags 250g,Clipper
1815,"Lift Lemon Tea, Reduced Sweetness 165g",Lift
1816,"Twinings Spiced Ginger Tea, 20 Tea Bags",Twinings
1817,Homepride Curry Sauce 485g,Homepride
1818,Whitworths Banana Chips 150g,Whitworths
1819,Sharwood's Medium Egg Noodles 226g,Sharwood's
1820,Franks Redhot Buffalo Wings Sauce 148ml,Franks
1821,Nuii Salted Caramel & Australian Macadamia 3x90ml,Nuii
1822,Mazola Pure Corn Oil 1L,Mazola
1823,Nissin Soba Yakitori Chicken Wok Style Instant Cup Noodles Pot 89g,Nissin
1824,Sharwood's Plain Poppadoms x8,Sharwood's
1825,Wikinger Hot Dogs x8 1030g,Wikinger
1826,Urban Fruit Gently Baked Strawberries 90g,Urban Fruit
1827,Quaker Porridge To Go Mixed Berries Breakfast Bars 2x55g,Quaker
1828,Stamford Street Co. Foodstore English Mustard 180g,Stamford Street Co.
1829,Kallo Organic Puffed Rice Cereal Gluten Free 225g,Kallo
1830,Clipper Fairtrade Organic Decaf Latin American Instant Coffee 100g,Clipper
1831,Marmite Cashews 90g,Marmite
1832,Kellogg's Pop Tarts Strawberry Sensation Breakfast Pastry Snack 8x48g,Kellogg's
1833,"Old Jamaica Ginger Beer, Light 330ml",Old Jamaica
1834,Stamford Street Co. Instant Hot Chocolate Drink 400g,Stamford Street Co.
1835,MOMA Cranberry & Raisin Gluten Free Jumbo Oat Porridge Pot 70g,MOMA
1836,Kellogg's Special K Milk Chocolate Cereal 360g,Kellogg's
1837,McVitie's Milk Chocolate Digestive Biscuits the Caramel One 250g,McVitie's
1838,"Dr Karg Organic Seeded Crispbread, 3 Grains + 3 Seeds 200g",Dr Karg
1839,Tea India Masala Chai Teabags x40,Tea India
1840,Homepride Cheese & Bacon Pasta Bake Sauce 485g,Homepride
1841,"Alara Fruits & Seeds Muesli, Organic 650g",Alara
1842,McDougalls Plain Flour 500g,McDougalls
1843,Patak’s Plain Cook at Home Poppadoms x10,Patak’s
1844,Hartley's Strawberry Jelly Pot Multipack 6x125g,Hartley's
1845,Hartley's No Added Sugar Raspberry Jelly Pot Multipack 6x115g,Hartley's
1846,Kellogg's Pop Tarts Choctastic Breakfast Pastry Snack 8x48g,Kellogg's
1847,Carte Noire Classique Instant Coffee 100g,Carte Noire
1848,Hartley's Lemon and Lime Jelly Pot 125g,Hartley's
1849,Kellogg's Crunchy Nut Fruit & Nut Granola 380g,Kellogg's
1850,Clipper Organic White Tea x26 Tea Bags 45g,Clipper
1851,Nature Valley Crunchy Variety Pack Cereal Bars 10x42g,Nature Valley
1852,Cheerios Multigrain 540g,Cheerios
1853,Crosta & Mollica Black Olive Grissini Breadsticks 140g,Crosta & Mollica
1854,Food Thoughts Organic Cocoa Powder 125g,Food Thoughts
1855,McVitie's Gluten Free Hobnobs Original Biscuits 150g,McVitie's
1856,L'OR Nespresso Compatible Espresso Supremo x10 Aluminium Coffee Capsules Intensity 10,L'OR
1857,Ainsley Harriott Wild Mushroom Cous Cous 100g,Ainsley Harriott
1858,Nando's Marinade Medium 262g,Nando's
1859,Aspall Organic Cyder Vinegar 350ml,Aspall
1860,Rubicon Sparkling Mango 330ml,Rubicon
1861,Milkybar White Chocolate Giant Buttons Bag 176g,Milkybar
1862,Lavazza Crema e Gusto Ground Coffee 250g,Lavazza
1863,Encona Thai Sweet Chilli Sauce Squeezy 285ml,Encona
1864,"Linwoods Organic Cold Milled Flaxseed, Sunflower, Pumpkin & Chia Seeds & Goji Berries 425g",Linwoods
1865,Flora Pure Sunflower Oil 2L,Flora
1866,Edlers Sweet Pastry Case 195g,Edlers
1867,Specialite Locale Sultana Fingerellas Cakes 250g,Specialite Locale
1868,Hermesetas Mini Sweeteners x400 Tablets,Hermesetas
1869,Loyd Grossman Thai Green Curry Sauce 350g,Loyd Grossman
1870,John West Tuna Steak with Sunflower Oil 3x60g,John West
1871,Betty Crocker Chocolate Fudge Brownie Mix 415g,Betty Crocker
1872,"Quaker Oat So Simple Strawberry, Raspberry & Cranberry Porridge Sachets 10x33.9g",Quaker
1873,Schar Gluten Free Panini Rolls x3,Schar
1874,Shreddies The Original 630g,Shreddies
1875,Loyd Grossman Balti Curry Cooking Sauce 350g,Loyd Grossman
1876,Fruit Shoot Hydro Apple & Raspberry Kids Water Drink 8x200ml,Fruit Shoot
1877,Sharwood's Kung Po Cooking Sauce 425g,Sharwood's
1878,Amoy Straight to Wok Udon Thick Noodles 2x150g,Amoy
1879,Peperami Tikka Chicken Bites 50g,Peperami
1880,Patak's Rogan Josh Spice Paste 283g,Patak's
1881,Trophy Indian Basmati Rice 10kg,Trophy
1882,Airwaves Menthol & Eucalyptus Sugar Free Chewing Gum Bottle 46 Pieces,Airwaves
1883,Warburtons Gluten Free Crumpets x4,Warburtons
1884,Cadbury Crunchy Melts Chocolate Centre Chocolate Chip Cookies 156g,Cadbury
1885,Up & Go Breakfast Drink Chocolate 300ml,Up & Go
1886,Robertson's Silver Shred Lemon Marmalade 454g,Robertson's
1887,Ting Grapefruit Crush 330ml,Ting
1888,Cirio Peeled Plum Tomatoes x4 400g,Cirio
1889,Nando's Peri-Peri Bag & Bake Medium 20g,Nando's
1890,Hermesetas Mini Sweeteners x 1200’s Tablets,Hermesetas
1891,BFree Wholegrain Pitta Breads 4 x 55g,BFree
1892,Ryvita Crispbread Sweet Onion Crackers 200g,Ryvita
1893,Grace Green Plantain Chips Salted 85g,Grace Green
1894,McVitie's Hobnobs The Oaty One 255g,McVitie's
1895,Too Good To Be Gluten Free Pork Pie 130g,Too Good To Be Gluten Free
1896,Allinson Wholemeal Self Raising Flour 1kg,Allinson
1897,NOMO Vegan & Free From Caramel Chocolate Bar 38g,NOMO
1898,John West Infusions Tuna Lemon & Thyme 80g,John West
1899,Colman's Recipe Mix Chilli Con Carne 50g,Colman's
1900,Lavazza Qualita Rossa Coffee Beans 1kg,Lavazza
1901,Aspall Classic White Wine Vinegar 350ml,Aspall
1902,Vifon Golden Chicken Noodle Soup 70g,Vifon
1903,Aunty's Chocolate Fudge Steam Pudding 2x100g,Aunty's
1904,Walkers Wotsits Crunchy Really Cheesy Snacks Crisps 140g,Walkers
1905,Mrs. Crimble's Gluten Free Jam Coconut Rings x6 240g,Mrs. Crimble's
1906,Betty Crocker Devil's Food Chocolate Cake Mix 425g,Betty Crocker
1907,Sharwood's Butter Chicken Curry Sauce 420g,Sharwood's
1908,St. Dalfour Orange Thick Cut Fruit Spread 284g,St. Dalfour
1909,L'OR Classique Instant Coffee 150g,L'OR
1910,"Cirio Tomato Puree, Double Concentrated 4x70g",Cirio
1911,Crosta & Mollica Tarallini with Fennel Seed 170g,Crosta & Mollica
1912,Cadbury White Giant Buttons Chocolate Bag 110g,Cadbury
1913,Nissin Soba Classic Wok Style Stir Fry Noodles 109g,Nissin
1914,Old El Paso Mexican Stand 'N' Stuff Garlic & Paprika Taco Kit 312g,Old El Paso
1915,Knorr Florida Spring Vegetable Dry Packet Soup 48g,Knorr
1916,Batchelors Bigga Dried Peas Selected Marrowfats 250g,Batchelors
1917,Knorr Gravy Pot Beef 4x28g,Knorr
1918,Nature Valley Crunchy Oats & Peanut Butter Cereal Bars 5x42g,Nature Valley
1919,Truvia Sweetener 0 Calorie from Stevia Leaf tablets 100x5g,Truvia
1920,Heinz Baked Beans Fiery Chilli 390g,Heinz
1921,Tetley Green Tea Lemon x50 Tea Bags 100g,Tetley
1922,Lotus Biscoff Caramelised Biscuit Spread Crunchy 380g,Lotus Biscoff
1923,Mr. Freeze Jubbly Cola Ice Lollies 8x62ml,Mr. Freeze
1924,Fox's Favourites Biscuit Selection 350g,Fox's
1925,Bio & Me Super Seedy & Nutty Gut Loving Granola 360g,Bio & Me
1926,Garner's Pickled Shallots 300g (160g*),Garner's
1927,Extra White Sugarfree Chewing Gum Bottle 46 Pieces,Unknown
1928,Homepride Red Wine Cooking Sauce 400g,Homepride
1929,Capsicana Mexican Smoked Cumin & Chipotle for Fajitas Seasoning Mix 28g,Capsicana
1930,"Twinings Ginger Green Tea, 20 Tea Bags",Twinings
1931,Toffee Crisp Milk Chocolate Bar Multipack x9 31g,Toffee Crisp
1932,Walkers Baked Salt & Vinegar Multipack Crisps Snacks 6x22g,Walkers
1933,"Twinings Lemon Green Tea, 20 Tea Bags",Twinings
1934,Billington's Demerara Sugar 500g,Billington's
1935,Promise Gluten Free Multigrain Loaf 480g,Promise
1936,Askeys Chocolate Chunk Crackin Ice Cream Topping 225g,Askeys
1937,KTC Kala Chana 400g,KTC
1938,Clarks Organic Agave Syrup 250ml,Clarks
1939,HP Reduced Salt Brown Sauce 450g,HP
1940,"The Coconut Collaborative Yogurt Alternative, Madagascan Vanilla 350g",The Coconut Collaborative
1941,Ben's Original Mexican Style Microwave Rice 220g,Ben's Original
1942,Rubicon Sparkling Passion 330ml,Rubicon
1943,Big Hoops BBQ Beef Grab Bag Crisps 45g,Big Hoops
1944,Billington's Golden Caster Natural Unrefined Cane Sugar 250g,Billington's
1945,Newman's Own Olive Oil & Vinegar Salad Dressing 250ml,Newman's Own
1946,Graze Protein Oat Bites Cereal Bars Peanut Butter & Chocolate 4x30g,Graze
1947,Haribo Chamallows Pink & White Marshmallows 140g,Haribo
1948,KTC Vegetable Oil 5L,KTC
1949,Jack Link's Beef Jerky Original 25g,Jack Link's
1950,Peter's Yard Fig & Spelt Sourdough Crackers 100g,Peter's Yard
1951,Dole Peach In Strawberry Jelly Fruit Snacks 4x123g,Dole
1952,"Nescafé Dolce Gusto Chococino x16 Pods, 8 Drinks",Nescafé
1953,Patak's Lime Pickle 283g,Patak's
1954,Nature's Finest Pitted Prunes in Juice 400g,Nature's Finest
1955,Old El Paso Squeezy Chunky Guacamole 240g,Old El Paso
1956,Knorr Thick Vegetable Dry Packet Soup 75g,Knorr
1957,Flying Goose Sriracha Hot Chilli Sauce 455ml,Flying Goose
1958,Pizza Express Caesar Salad Dressing 235ml,Pizza Express
1959,Cadbury Crunchie Chocolate Bar 40g,Cadbury
1960,Aunty's Sticky Toffee Puddings 200g,Aunty's
1961,Siro Sugar Free Digestive Biscuits 400g,Siro
1962,Cadbury Bournville Fingers Dark Chocolate Biscuits 114g,Cadbury
1963,John West Infusions Tuna Basil 80g,John West
1964,NOMO Fruit & Crunch Chocolate Bar 32g,NOMO
1965,Yutaka Shaoxing Rice Wine 150ml,Yutaka
1966,Thorntons Classic Assorted Chocolates Gift Box 262g,Thorntons
1967,Oreo Lunchbox Vanilla Cookies 6 Pack Multipack 132g,Oreo
1968,Loyd Grossman Bhuna Curry Cooking Sauce 350g,Loyd Grossman
1969,"Sainsbury’s Triple Belgian Chocolate Cookies, Taste the Difference x4",Sainsbury’s
1970,Fibre One Birthday Cake Brownie 5x24g,Fibre One
1971,Jif Lemon Lemon Juice 100ml,Jif Lemon
1972,Newman's Own French Dressing 250ml,Newman's Own
1973,LEON Garlic Aioli 240ml,LEON
1974,Barilla Classic Fusilli Pasta 500g,Barilla
1975,Freee Gluten Free Organic Chocolate Stars 300g,Freee
1976,Yeo Valley Organic Soured Cream 200g,Yeo Valley
1977,Nairn's Gluten Free Oat Muesli 450g,Nairn's
1978,Nando's Peri Peri Sauce Hot 125g,Nando's
1979,Pipers Trealy Farm Chorizo Sharing Crisps 150g,Pipers
1980,Nando's Hot Perinaise Peri-Peri Mayonnaise 265g,Nando's
1981,Ambrosia Deluxe Custard West Country Cream Can 400g,Ambrosia
1982,Bisto Best Chicken Gravy Granules 390g,Bisto
1983,"Loyd Grossman Pasta Sauce, Tomato & Red Wine 350g",Loyd Grossman
1984,"Batchelors Pasta 'n' Sauce, Cheese & Pancetta 110g",Batchelors
1985,Tropical Sun Coconut Milk Mini 165g,Tropical Sun
1986,Bute Island Foods Ltd Grated Sheese Vegan Mozzarella Style 200g,Bute Island Foods Ltd
1987,Betty Crocker Velvety Vanilla Cake Mix 425g,Betty Crocker
1988,Azeem Halal Chicken Breast Fillets 1kg,Azeem
1989,Clipper Fairtrade Instant Hot Chocolate 350g,Clipper
1990,Mrs Crimble's Gluten Free Coconut Macaroons x6,Mrs Crimble's
1991,"Baxters Super Good Pea, Broccoli and Basil Pesto Soup 400g",Baxters
1992,Indo Mie Sir-Fry Spicy Noodles 80g,Indo Mie
1993,NOMO Caramel & Sea Salt Chocolate Bar 38g,NOMO
1994,Littleover English Set Honey 340g,Littleover
1995,Quaker Oat So Simple Big Bowl Golden Syrup Porridge Sachets 6x49.6g,Quaker
1996,Blue Dragon Pad Thai Noodles Stir Fry Kit 265g,Blue Dragon
1997,Merchant Gourmet Mexican Inspired Grains 250g,Merchant Gourmet
1998,Eat Natural for Breakfast Low Sugar Granola Whole Grain Oats 450g,Eat Natural
1999,Doves Farm Organic Wholemeal Rye Flour 1kg,Doves Farm
2000,Loyd Grossman Thai Red Curry Sauce 350g,Loyd Grossman
2001,Pukka Organic Supreme Matcha Green x20 Tea Bags 30g,Pukka
2002,Montezuma’s Organic 73% Cocoa Dark Chocolate Buttons Bag 90g,Montezuma’s
2003,KIND Dark Chocolate Nuts & Sea Salt Snack Bar 40g,KIND
2004,Aunty's Delicious Spotted Dick Sultana & Raisin Steamed Puddings 2x95g,Aunty's
2005,Cadbury Caramilk Golden Caramel Chocolate Bar 90g,Cadbury
2006,Fudco Deluxe Assorted Nuts 500g,Fudco
2007,Pizza Express Pre-Rolled Pizza Dough 400g,Pizza Express
2008,Nairn's Gluten Free Super Seeded Oatcakes 180g,Nairn's
2009,Cardini's Original Caesar Dressing 250ml,Cardini's
2010,Dr. Oetker Platinum Grade Leaf Gelatine 13g,Dr. Oetker
2011,Old El Paso Mexican Hearty Beef & Bean Chilli Mild Burrito Kit 620g,Old El Paso
2012,Lindt Lindor Salted Caramel Chocolate Truffles Box 200g,Lindt
2013,Gallo My Risotto Perfetto Porcini Mushroom 175g,Gallo
2014,Kolee Instant Noodles Chicken 85g,Kolee
2015,Dole Fruit in Jelly Mandarins in Orange Flavour Jelly x4 492g,Dole
2016,Bisto Best Onion Gravy Granules 230g,Bisto
2017,Heinz Steak & Potato Chunky Big Soup 400g,Heinz
2018,Siro Oaty Sugar Free Biscuits 300g,Siro
2019,Fridge Raiders Southern Style Chicken Snack Bites 70g,Fridge Raiders
2020,McVitie's Thin Arrowroot 200g,McVitie's
2021,Princes Drained & Ready to Use Tuna Steak with a Little Sunflower Oil 3x110g,Princes
2022,Wright's Oat & Linseed Bread Mix 500g,Wright's
2023,Starbucks House Blend Ground Coffee Bag 200g,Starbucks
2024,Tilda Microwave Rice Peri Peri Basmati 250g,Tilda
2025,Makrut Lime Leaves 2g,Unknown
2026,"L'OR Espresso Ristretto Decaf, Intensity 9, Aluminium Coffee Capsules x10 52g",L'OR
2027,Filippo Berio Olive Oil 500ml,Filippo Berio
2028,Farrington's Mellow Yellow Cold Pressed Rapeseed Oil 500ml,Farrington's
2029,Cadbury Curly Wurly Chocolate Bar Multipack x5 107.5g,Cadbury
2030,JimJams 83% Less Sugar Hazelnut Chocolate Spread 350g,JimJams
2031,Pip & Nut Peanut Butter 1kg,Pip & Nut
2032,Capri-Sun Tropical 8 x 200ml,Capri-Sun
2033,Newman's Own Sticky BBQ Marinade 250ml,Newman's Own
2034,Splenda Minis Zero Calorie Sweetener Tablets 500,Splenda
2035,Bonne Maman Wild Strawberry 370g,Bonne Maman
2036,Kellogg's Frosties Breakfast Cereal Bars 6x20g,Kellogg's
2037,John West Kipper Fillets Oil 145g,John West
2038,Pieminister Gluten Free Moo British Beef Steak & Gluten Free Ale Pie 275g,Pieminister
2039,Cadbury Oreo Bites Chocolate Bag 110g,Cadbury
2040,BEAR Fruit Yoyos Super Sour Strawberry & Apple Multipack x5 20g,BEAR
2041,Nielsen-Massey Vanilla Bean Paste 60ml,Nielsen-Massey
2042,Bio & Me Low Sugar Naturally Gut Loving Granola 360g,Bio & Me
